ID,answer
RD_A_J_20231101,1954.8555000000001
RD_D_J_20231102,1682.047575
RD_E_S_20231103,1923.48805
RD_A_J_20231104,1961.5159
RD_C_S_20231105,1922.7219750000002
RD_E_S_20231106,1906.9392500000001
RD_D_J_20231107,1753.5561500000001
RD_C_S_20231108,1724.9621499999998
RD_F_J_20231109,1973.3423
RD_D_S_20231110,1879.163675
RD_C_S_20231111,1970.6125499999998
RD_A_S_20231112,1686.344025
RD_F_J_20231113,1926.717475
RD_E_J_20231114,1834.085875
RD_E_S_20231115,1951.257675
RD_F_J_20231116,1973.423475
RD_A_S_20231117,1755.9219999999998
RD_F_J_20231118,1760.9412
RD_D_S_20231119,1896.079675
RD_D_J_20231120,1793.8296
RD_E_S_20231121,1774.2707999999998
RD_D_J_20231122,1679.955625
RD_A_S_20231123,1761.0027249999998
RD_C_S_20231124,1718.8260249999998
RD_E_S_20231125,1902.9758
RD_E_J_20231126,1906.0135249999998
RD_D_S_20231127,1892.4708
RD_F_J_20231128,1781.17235
RD_A_J_20231129,1943.6526000000001
RD_D_J_20231130,1682.13806
RD_D_J_20231201,1678.7036
RD_E_J_20231202,1852.32885
RD_A_J_20231203,1683.551225
RD_F_J_20231204,1925.4538
RD_D_S_20231205,1758.118375
RD_A_J_20231206,1942.0789
RD_E_J_20231207,1911.34335
RD_F_J_20231208,1857.746775
RD_E_S_20231209,1903.3555499999998
RD_A_J_20231210,1678.39645
RD_D_S_20231211,1892.9762
RD_C_S_20231212,1897.3622249999999
RD_C_S_20231213,1725.387525
RD_D_J_20231214,1682.26295
RD_D_S_20231215,1878.5195500000002
RD_E_J_20231216,1831.0377749999998
RD_D_J_20231217,1895.00655
RD_E_S_20231218,1907.4213250000003
RD_E_J_20231219,1834.391975
RD_C_S_20231220,1725.7655
RD_D_S_20231221,1881.63715
RD_D_S_20231222,1877.3124
RD_E_J_20231223,1853.253525
RD_E_S_20231224,1897.4167
RD_E_J_20231225,1795.7241999999999
RD_D_J_20231226,1750.08115
RD_D_J_20231227,1680.2058749999999
RD_A_S_20231228,1755.6933999999999
RD_A_J_20231229,1926.4953999999998
RD_F_J_20231230,1749.2547499999998
RD_E_J_20231231,1905.915675
