ID,answer,date
BC_A_J_20231101,1933.64315,2023-11-01
BC_A_S_20231102,2042.1851,2023-11-02
BC_D_S_20231103,1988.38875,2023-11-03
BC_D_S_20231104,1874.473675,2023-11-04
BC_E_J_20231105,1910.99395,2023-11-05
BC_A_S_20231106,1967.68055,2023-11-06
BC_A_J_20231107,1804.854925,2023-11-07
BC_D_J_20231108,1935.61425,2023-11-08
BC_E_J_20231109,1997.328775,2023-11-09
BC_D_J_20231110,1914.21575,2023-11-10
BC_D_S_20231111,1874.48155,2023-11-11
BC_E_J_20231112,1911.001525,2023-11-12
BC_A_J_20231113,1878.832275,2023-11-13
BC_E_J_20231114,1881.4452,2023-11-14
BC_D_J_20231115,1935.828625,2023-11-15
BC_E_S_20231116,2065.958975,2023-11-16
BC_F_J_20231117,2073.968425,2023-11-17
BC_E_J_20231118,1848.78075,2023-11-18
BC_C_S_20231119,2034.989575,2023-11-19
BC_E_J_20231120,1937.234475,2023-11-20
BC_D_S_20231121,1907.1003,2023-11-21
BC_A_J_20231122,1933.91205,2023-11-22
BC_A_J_20231123,1954.826725,2023-11-23
BC_F_J_20231124,2033.1381,2023-11-24
BC_A_J_20231125,1764.321075,2023-11-25
BC_D_S_20231126,1936.689075,2023-11-26
BC_D_J_20231127,1888.75985,2023-11-27
BC_D_S_20231128,1906.499125,2023-11-28
BC_E_S_20231129,2048.939575,2023-11-29
BC_D_S_20231130,2025.42165,2023-11-30
BC_F_J_20231201,1994.78155,2023-12-01
BC_D_J_20231202,1796.6843,2023-12-02
BC_D_J_20231203,1862.371375,2023-12-03
BC_A_S_20231204,1968.3462,2023-12-04
BC_E_S_20231205,1955.63045,2023-12-05
BC_A_J_20231206,1925.9173000000003,2023-12-06
BC_C_S_20231207,2144.252225,2023-12-07
BC_C_S_20231208,2098.524925,2023-12-08
BC_A_J_20231209,1754.567525,2023-12-09
BC_C_S_20231210,2036.236775,2023-12-10
BC_D_S_20231211,1965.671525,2023-12-11
BC_A_J_20231212,1806.8123,2023-12-12
BC_E_S_20231213,2050.5380250000003,2023-12-13
BC_E_J_20231214,1998.274075,2023-12-14
BC_C_S_20231215,2098.4096,2023-12-15
BC_E_S_20231216,1921.203075,2023-12-16
BC_D_J_20231217,1856.351525,2023-12-17
BC_D_J_20231218,1881.26815,2023-12-18
BC_D_J_20231219,1821.5557,2023-12-19
BC_E_S_20231220,2041.7359,2023-12-20
BC_A_S_20231221,2001.979225,2023-12-21
BC_A_J_20231222,1891.3277,2023-12-22
BC_F_J_20231223,1806.4706,2023-12-23
BC_F_J_20231224,1864.843425,2023-12-24
BC_E_J_20231225,1937.8384,2023-12-25
BC_E_J_20231226,1861.528525,2023-12-26
BC_D_S_20231227,2000.759275,2023-12-27
BC_A_J_20231228,1938.346875,2023-12-28
BC_E_J_20231229,1944.13175,2023-12-29
BC_C_S_20231230,1959.58345,2023-12-30
BC_D_J_20231231,1855.648475,2023-12-31
