ID,answer
CB_A_S_20231101,4126.354475
CB_F_J_20231102,3368.5847
CB_A_S_20231103,4134.504975
CB_F_J_20231104,3608.09525
CB_E_J_20231105,3604.5539
CB_D_J_20231106,3710.6841249999998
CB_A_S_20231107,4231.626225
CB_A_S_20231108,4126.387275
CB_F_J_20231109,3368.656325
CB_A_J_20231110,3146.8095000000003
CB_D_J_20231111,3903.5995999999996
CB_A_J_20231112,3199.87685
CB_A_J_20231113,3167.4166999999998
CB_D_J_20231114,3813.7936
CB_A_J_20231115,3133.4593999999997
CB_A_J_20231116,3124.59535
CB_D_J_20231117,3682.25655
CB_D_J_20231118,3903.563
CB_A_J_20231119,3199.72415
CB_F_J_20231120,3411.3154999999997
CB_A_S_20231121,4231.7798999999995
CB_F_J_20231122,3371.5903749999998
CB_D_J_20231123,3652.9620499999996
CB_E_J_20231124,3531.5831749999998
CB_F_J_20231125,3592.2295
CB_A_S_20231126,4176.98005
CB_F_J_20231127,3410.979625
CB_F_J_20231128,3515.1789000000003
CB_A_J_20231129,3132.9222
CB_A_J_20231130,3124.7304
CB_E_J_20231201,3531.3912
CB_A_J_20231202,3340.7073000000005
CB_F_J_20231203,3452.53805
CB_D_J_20231204,3710.0413999999996
CB_F_J_20231205,3515.1112500000004
CB_A_J_20231206,3132.95265
CB_A_J_20231207,3124.75285
CB_A_S_20231208,4133.5409
CB_F_J_20231209,3607.354125
CB_F_J_20231210,3452.5505749999998
CB_D_J_20231211,3710.2767999999996
CB_A_J_20231212,3245.17175
CB_E_J_20231213,3513.18995
CB_D_J_20231214,3652.7759749999996
CB_A_J_20231215,3146.54435
CB_F_J_20231216,3599.647025
CB_F_J_20231217,3439.196925
CB_A_J_20231218,3167.769475
CB_A_S_20231219,4231.535925
CB_F_J_20231220,3361.833025
CB_D_J_20231221,3652.7044750000005
CB_E_J_20231222,3531.4878000000003
CB_A_J_20231223,3339.6566000000003
CB_A_J_20231224,3200.061325
CB_E_J_20231225,3562.01255
CB_D_J_20231226,3814.2921
CB_F_J_20231227,3359.5858
CB_A_J_20231228,3124.718325
CB_D_J_20231229,3682.1668250000002
CB_F_J_20231230,3591.5726250000002
CB_D_J_20231231,3753.029525
