ID,answer
TG_D_J_20231101,3025.8053
TG_E_J_20231102,2779.291725
TG_A_S_20231103,4039.746975
TG_C_S_20231104,3874.023275
TG_B_J_20231105,3347.74475
TG_D_S_20231106,3121.0527
TG_E_J_20231107,2858.9022750000004
TG_C_J_20231108,3576.1085
TG_D_J_20231109,3042.596675
TG_E_J_20231110,2768.277125
TG_E_S_20231111,2989.5288
TG_C_J_20231112,3652.335525
TG_E_S_20231113,2855.987125
TG_E_S_20231114,2923.2018
TG_D_S_20231115,3055.5852
TG_B_S_20231116,3696.395925
TG_D_S_20231117,3082.466375
TG_E_J_20231118,2883.814725
TG_D_J_20231119,3059.6615
TG_C_J_20231120,3382.6734
TG_D_J_20231121,3088.293375
TG_C_S_20231122,3659.300725
TG_C_J_20231123,3452.788375
TG_B_S_20231124,3540.943075
TG_A_S_20231125,4127.8237
TG_A_J_20231126,3590.0854750000003
TG_D_S_20231127,3121.1663000000003
TG_C_J_20231128,3819.005175
TG_E_S_20231129,2807.277075
TG_B_J_20231130,3314.828325
TG_D_J_20231201,3027.410925
TG_B_J_20231202,3426.5079750000004
TG_C_J_20231203,3725.055575
TG_B_J_20231204,3369.553875
TG_B_S_20231205,3953.095325
TG_B_J_20231206,3298.603175
TG_A_J_20231207,3527.405075
TG_E_J_20231208,2776.088
TG_E_J_20231209,2942.521775
TG_D_S_20231210,3140.739075
TG_E_S_20231211,2855.9661
TG_D_S_20231212,3318.55115
TG_D_J_20231213,3023.140675
TG_E_S_20231214,2920.63915
TG_D_J_20231215,3022.6165249999995
TG_E_J_20231216,3114.3187250000005
TG_A_S_20231217,3626.330475
TG_D_J_20231218,3077.012725
TG_E_S_20231219,2883.2407
TG_D_J_20231220,3043.31455
TG_D_J_20231221,3024.81685
TG_C_J_20231222,3666.103525
TG_A_J_20231223,3666.406225
TG_D_J_20231224,3081.7208
TG_C_S_20231225,3430.574125
TG_E_S_20231226,2938.2906000000003
TG_B_S_20231227,3869.4263
TG_B_S_20231228,3825.802225
TG_D_S_20231229,3108.2359
TG_C_J_20231230,4057.456575
TG_D_S_20231231,3219.493225
